case_id,component,boundary,Q_S_Byte_exact,Q_R_Byte_exact,RI_exact,tile_evaluations,final_valid_resident_Byte,allocated_tile_Byte
qwen36_35b_a3b/attention_decode/16384,AV,operator,262144,512,512,,8388608,8388608
qwen36_35b_a3b/attention_decode/131072,total,ports,8388608,1024,8192,65536,134217728,134217728
qwen36_35b_a3b/attention_decode/131072,total,operator,2101248,1024,2052,,134217728,134217728
qwen36_35b_a3b/attention_decode/131072,QK,ports,4194304,512,8192,32768,67108864,67108864
qwen36_35b_a3b/attention_decode/131072,QK,operator,4096,512,8,,67108864,67108864
qwen36_35b_a3b/attention_decode/131072,AV,ports,4194304,512,8192,32768,67108864,67108864
qwen36_35b_a3b/attention_decode/131072,AV,operator,2097152,512,4096,,67108864,67108864
mimo_v25_pro/attention_prefill/1024,total,ports,180420608,2621440,2753/40,1769472,2621440,3145728
mimo_v25_pro/attention_prefill/1024,total,operator,92340224,2621440,1409/40,,2621440,3145728
mimo_v25_pro/attention_prefill/1024,QK,ports,113246208,1572864,72,1179648,1572864,2097152
mimo_v25_pro/attention_prefill/1024,QK,operator,25165824,1572864,16,,1572864,2097152
mimo_v25_pro/attention_prefill/1024,AV,ports,67174400,1048576,1025/16,589824,1048576,1048576
mimo_v25_pro/attention_prefill/1024,AV,operator,67174400,1048576,1025/16,,1048576,1048576
mimo_v25_pro/attention_decode/1024,total,ports,327680,2560,128,3072,2621440,3145728
mimo_v25_pro/attention_decode/1024,total,operator,155648,2560,304/5,,2621440,3145728
mimo_v25_pro/attention_decode/1024,QK,ports,196608,1536,128,2048,1572864,2097152
mimo_v25_pro/attention_decode/1024,QK,operator,24576,1536,16,,1572864,2097152
mimo_v25_pro/attention_decode/1024,AV,ports,131072,1024,128,1024,1048576,1048576
mimo_v25_pro/attention_decode/1024,AV,operator,131072,1024,128,,1048576,1048576
