case_id,model_id,model_revision,selected_layer,row,B,L,component,boundary,Q_S,Q_R,RI,tile_evaluations,matrix_N_K_per_copy,copies,valid_resident_bytes,allocated_tile_bytes,resident_tiles,operator_shared_input_overlap_removed,initial_KV_tokens,final_KV_tokens,initial_valid_resident_bytes,appended_tokens,append,directory,results_path,results_sha256,delivery_revision,delivery_sha256,json_pointer
qwen35_2b/ffn_or_moe/64,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,64,,up,ports,6291456,12582912,1/2,49152,"[6144,2048]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/1/result/parts/up/ports
qwen35_2b/ffn_or_moe/64,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,64,,up,operator,131072,12582912,1/96,,"[6144,2048]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/1/result/parts/up/operator
qwen35_2b/ffn_or_moe/64,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,64,,down,ports,6291456,12582912,1/2,49152,"[2048,6144]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/1/result/parts/down/ports
qwen35_2b/ffn_or_moe/64,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,64,,down,operator,393216,12582912,1/32,,"[2048,6144]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/1/result/parts/down/operator
qwen35_2b/ffn_or_moe/512,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,512,,total,ports,150994944,37748736,4,1179648,,,37748736,37748736,2304,1048576,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/2/result/ports
qwen35_2b/ffn_or_moe/512,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,512,,total,operator,4194304,37748736,1/9,,,,37748736,37748736,2304,1048576,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/2/result/operator
qwen35_2b/ffn_or_moe/512,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,512,,gate,ports,50331648,12582912,4,393216,"[6144,2048]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/2/result/parts/gate/ports
qwen35_2b/ffn_or_moe/512,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,512,,gate,operator,1048576,12582912,1/12,,"[6144,2048]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/2/result/parts/gate/operator
qwen35_2b/ffn_or_moe/512,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,512,,up,ports,50331648,12582912,4,393216,"[6144,2048]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/2/result/parts/up/ports
qwen35_2b/ffn_or_moe/512,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,512,,up,operator,1048576,12582912,1/12,,"[6144,2048]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/2/result/parts/up/operator
qwen35_2b/ffn_or_moe/512,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,512,,down,ports,50331648,12582912,4,393216,"[2048,6144]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/2/result/parts/down/ports
qwen35_2b/ffn_or_moe/512,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,512,,down,operator,3145728,12582912,1/4,,"[2048,6144]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/2/result/parts/down/operator
qwen35_2b/attention_prefill/1024,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,1024,total,ports,17833984,1048576,2177/128,147456,,,1048576,1048576,64,0,0,1024,0,1024,,table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/0/result/ports
qwen35_2b/attention_prefill/1024,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,1024,total,operator,6295552,1048576,1537/256,,,,1048576,1048576,64,0,0,1024,0,1024,,table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/0/result/operator
qwen35_2b/attention_prefill/1024,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,1024,QK,ports,9437184,524288,18,73728,"[1024,256]",2,524288,524288,32,,,,,,"{""valid_slice_N_K_per_head_per_token"":[[1,128],[1,128]],""logical_slice_write_events"":4096,""events_are_not_device_write_transactions"":true,""per_token_logical_slice_write_events"":4,""valid_write_bytes_per_token"":512}",table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/0/result/parts/QK/ports
qwen35_2b/attention_prefill/1024,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,1024,QK,operator,2097152,524288,4,,"[1024,256]",2,524288,524288,32,,,,,,"{""valid_slice_N_K_per_head_per_token"":[[1,128],[1,128]],""logical_slice_write_events"":4096,""events_are_not_device_write_transactions"":true,""per_token_logical_slice_write_events"":4,""valid_write_bytes_per_token"":512}",table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/0/result/parts/QK/operator
qwen35_2b/attention_prefill/1024,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,1024,AV,ports,8396800,524288,1025/64,73728,"[256,1024]",2,524288,524288,32,,,,,,"{""valid_slice_N_K_per_head_per_token"":[[128,1],[128,1]],""logical_slice_write_events"":4096,""events_are_not_device_write_transactions"":true,""per_token_logical_slice_write_events"":4,""valid_write_bytes_per_token"":512}",table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/0/result/parts/AV/ports
qwen35_2b/attention_prefill/1024,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,1024,AV,operator,4198400,524288,1025/128,,"[256,1024]",2,524288,524288,32,,,,,,"{""valid_slice_N_K_per_head_per_token"":[[128,1],[128,1]],""logical_slice_write_events"":4096,""events_are_not_device_write_transactions"":true,""per_token_logical_slice_write_events"":4,""valid_write_bytes_per_token"":512}",table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/0/result/parts/AV/operator
qwen35_2b/attention_prefill/16384,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,16384,total,ports,4311875584,16777216,32897/128,33816576,,,16777216,16777216,1024,0,0,16384,0,16384,,table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/1/result/ports
qwen35_2b/attention_prefill/16384,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,16384,total,operator,1107361792,16777216,16897/256,,,,16777216,16777216,1024,0,0,16384,0,16384,,table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/1/result/operator
qwen35_2b/attention_prefill/16384,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,16384,QK,ports,2164260864,8388608,258,16908288,"[16384,256]",2,8388608,8388608,512,,,,,,"{""valid_slice_N_K_per_head_per_token"":[[1,128],[1,128]],""logical_slice_write_events"":65536,""events_are_not_device_write_transactions"":true,""per_token_logical_slice_write_events"":4,""valid_write_bytes_per_token"":512}",table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/1/result/parts/QK/ports
qwen35_2b/attention_prefill/16384,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,16384,QK,operator,33554432,8388608,4,,"[16384,256]",2,8388608,8388608,512,,,,,,"{""valid_slice_N_K_per_head_per_token"":[[1,128],[1,128]],""logical_slice_write_events"":65536,""events_are_not_device_write_transactions"":true,""per_token_logical_slice_write_events"":4,""valid_write_bytes_per_token"":512}",table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/1/result/parts/QK/operator
qwen35_2b/attention_prefill/16384,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,16384,AV,ports,2147614720,8388608,16385/64,16908288,"[256,16384]",2,8388608,8388608,512,,,,,,"{""valid_slice_N_K_per_head_per_token"":[[128,1],[128,1]],""logical_slice_write_events"":65536,""events_are_not_device_write_transactions"":true,""per_token_logical_slice_write_events"":4,""valid_write_bytes_per_token"":512}",table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/1/result/parts/AV/ports
qwen35_2b/attention_prefill/16384,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,16384,AV,operator,1073807360,8388608,16385/128,,"[256,16384]",2,8388608,8388608,512,,,,,,"{""valid_slice_N_K_per_head_per_token"":[[128,1],[128,1]],""logical_slice_write_events"":65536,""events_are_not_device_write_transactions"":true,""per_token_logical_slice_write_events"":4,""valid_write_bytes_per_token"":512}",table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/1/result/parts/AV/operator
qwen35_2b/attention_prefill/131072,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,131072,total,ports,275013173248,134217728,262273/128,2149580800,,,134217728,134217728,8192,0,0,131072,0,131072,,table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/2/result/ports
qwen35_2b/attention_prefill/131072,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,131072,total,operator,68988436480,134217728,131585/256,,,,134217728,134217728,8192,0,0,131072,0,131072,,table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/2/result/operator
qwen35_2b/attention_prefill/131072,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,131072,QK,ports,137573171200,67108864,2050,1074790400,"[131072,256]",2,67108864,67108864,4096,,,,,,"{""valid_slice_N_K_per_head_per_token"":[[1,128],[1,128]],""logical_slice_write_events"":524288,""events_are_not_device_write_transactions"":true,""per_token_logical_slice_write_events"":4,""valid_write_bytes_per_token"":512}",table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/2/result/parts/QK/ports
qwen35_2b/attention_prefill/131072,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,attention_prefill,,131072,QK,operator,268435456,67108864,4,,"[131072,256]",2,67108864,67108864,4096,,,,,,"{""valid_slice_N_K_per_head_per_token"":[[1,128],[1,128]],""logical_slice_write_events"":524288,""events_are_not_device_write_transactions"":true,""per_token_logical_slice_write_events"":4,""valid_write_bytes_per_token"":512}",table_IIb/03_attention,table_IIb/03_attention/data/results.json,7f552ac50508897407e7856c96221a3a73e2ac28ff5629b512a9f35736875107,1,e0e1012922866def44382db5340c409bce49d90a85ab6f7642d96174d65e2cfa,/cases/2/result/parts/QK/operator
