wl_id,boundary_kind,Q_R_Byte,Q_S_Byte,M_OP,RI_state,RI_exact
wl_7b_k_prefill_b8_l8192_load_tp_r128_c128,tile_port,3670016,1879048192,240518168576,finite,512
wl_7b_v_decode_b1_static_tp_r128_c128,tile_port,0,28672,3670016,infinite,
wl_7b_v_decode_b1_load_tp_r128_c128,tile_port,3670016,28672,3670016,finite,1/128
wl_7b_v_prefill_b1_l2048_load_tp_r128_c128,tile_port,3670016,58720256,7516192768,finite,16
wl_7b_v_prefill_b1_l8192_load_tp_r128_c128,tile_port,3670016,234881024,30064771072,finite,64
wl_7b_v_decode_b8_static_tp_r128_c128,tile_port,0,229376,29360128,infinite,
wl_7b_v_decode_b8_load_tp_r128_c128,tile_port,3670016,229376,29360128,finite,1/16
wl_7b_v_prefill_b8_l2048_load_tp_r128_c128,tile_port,3670016,469762048,60129542144,finite,128
wl_7b_v_prefill_b8_l8192_load_tp_r128_c128,tile_port,3670016,1879048192,240518168576,finite,512
wl_7b_o_decode_b1_static_tp_r128_c128,tile_port,0,200704,25690112,infinite,
wl_7b_o_decode_b1_load_tp_r128_c128,tile_port,25690112,200704,25690112,finite,1/128
wl_7b_o_prefill_b1_l2048_load_tp_r128_c128,tile_port,25690112,411041792,52613349376,finite,16
wl_7b_o_prefill_b1_l8192_load_tp_r128_c128,tile_port,25690112,1644167168,210453397504,finite,64
wl_7b_o_decode_b8_static_tp_r128_c128,tile_port,0,1605632,205520896,infinite,
wl_7b_o_decode_b8_load_tp_r128_c128,tile_port,25690112,1605632,205520896,finite,1/16
wl_7b_o_prefill_b8_l2048_load_tp_r128_c128,tile_port,25690112,3288334336,420906795008,finite,128
wl_7b_o_prefill_b8_l8192_load_tp_r128_c128,tile_port,25690112,13153337344,1683627180032,finite,512
wl_7b_gate_decode_b1_static_tp_r128_c128,tile_port,0,1060864,135790592,infinite,
wl_7b_gate_decode_b1_load_tp_r128_c128,tile_port,135790592,1060864,135790592,finite,1/128
wl_7b_gate_prefill_b1_l2048_load_tp_r128_c128,tile_port,135790592,2172649472,278099132416,finite,16
wl_7b_gate_prefill_b1_l8192_load_tp_r128_c128,tile_port,135790592,8690597888,1112396529664,finite,64
wl_7b_gate_decode_b8_static_tp_r128_c128,tile_port,0,8486912,1086324736,infinite,
wl_7b_gate_decode_b8_load_tp_r128_c128,tile_port,135790592,8486912,1086324736,finite,1/16
wl_7b_gate_prefill_b8_l2048_load_tp_r128_c128,tile_port,135790592,17381195776,2224793059328,finite,128
wl_7b_gate_prefill_b8_l8192_load_tp_r128_c128,tile_port,135790592,69524783104,8899172237312,finite,512
wl_7b_up_decode_b1_static_tp_r128_c128,tile_port,0,1060864,135790592,infinite,
wl_7b_up_decode_b1_load_tp_r128_c128,tile_port,135790592,1060864,135790592,finite,1/128
wl_7b_up_prefill_b1_l2048_load_tp_r128_c128,tile_port,135790592,2172649472,278099132416,finite,16
wl_7b_up_prefill_b1_l8192_load_tp_r128_c128,tile_port,135790592,8690597888,1112396529664,finite,64
wl_7b_up_decode_b8_static_tp_r128_c128,tile_port,0,8486912,1086324736,infinite,
wl_7b_up_decode_b8_load_tp_r128_c128,tile_port,135790592,8486912,1086324736,finite,1/16
wl_7b_up_prefill_b8_l2048_load_tp_r128_c128,tile_port,135790592,17381195776,2224793059328,finite,128
wl_7b_up_prefill_b8_l8192_load_tp_r128_c128,tile_port,135790592,69524783104,8899172237312,finite,512
wl_7b_down_decode_b1_static_tp_r128_c128,tile_port,0,1060864,135790592,infinite,
wl_7b_down_decode_b1_load_tp_r128_c128,tile_port,135790592,1060864,135790592,finite,1/128
wl_7b_down_prefill_b1_l2048_load_tp_r128_c128,tile_port,135790592,2172649472,278099132416,finite,16
wl_7b_down_prefill_b1_l8192_load_tp_r128_c128,tile_port,135790592,8690597888,1112396529664,finite,64
wl_7b_down_decode_b8_static_tp_r128_c128,tile_port,0,8486912,1086324736,infinite,
wl_7b_down_decode_b8_load_tp_r128_c128,tile_port,135790592,8486912,1086324736,finite,1/16
wl_7b_down_prefill_b8_l2048_load_tp_r128_c128,tile_port,135790592,17381195776,2224793059328,finite,128
wl_7b_down_prefill_b8_l8192_load_tp_r128_c128,tile_port,135790592,69524783104,8899172237312,finite,512
wl_7b_lm_head_decode_b1_static_tp_r128_c128,tile_port,0,8515584,1089994752,infinite,
wl_7b_lm_head_decode_b1_load_tp_r128_c128,tile_port,1089994752,8515584,1089994752,finite,1/128
wl_7b_lm_head_prefill_b1_l2048_load_tp_r128_c128,tile_port,1089994752,17439916032,2232309252096,finite,16
wl_7b_lm_head_prefill_b1_l8192_load_tp_r128_c128,tile_port,1089994752,69759664128,8929237008384,finite,64
wl_7b_lm_head_decode_b8_static_tp_r128_c128,tile_port,0,68124672,8719958016,infinite,
wl_7b_lm_head_decode_b8_load_tp_r128_c128,tile_port,1089994752,68124672,8719958016,finite,1/16
wl_7b_lm_head_prefill_b8_l2048_load_tp_r128_c128,tile_port,1089994752,139519328256,17858474016768,finite,128
wl_7b_lm_head_prefill_b8_l8192_load_tp_r128_c128,tile_port,1089994752,558077313024,71433896067072,finite,512
wl_7b_gate_reload_b1_l2048_e4_tp_r128_c128,tile_port,543162368,2172649472,278099132416,finite,4
wl_7b_attn_prefill_b1_l2048_tp_r128_c128_qk,tile_port,2097152,124780544,15039725568,finite,119/2
wl_7b_attn_prefill_b1_l2048_tp_r128_c128_av,tile_port,2097152,117497856,15039725568,finite,14343/256
wl_7b_attn_prefill_b1_l2048_tp_r128_c128,tile_port,4194304,242278400,30079451136,finite,29575/512
wl_7b_attn_prefill_b1_l8192_tp_r128_c128_qk,tile_port,8388608,1908408320,240547528704,finite,455/2
wl_7b_attn_prefill_b1_l8192_tp_r128_c128_av,tile_port,8388608,1879277568,240547528704,finite,57351/256
wl_7b_attn_prefill_b1_l8192_tp_r128_c128,tile_port,16777216,3787685888,481095057408,finite,115591/512
wl_7b_attn_decode_b1_v2048_tp_r128_c128_qk,tile_port,1024,114688,14680064,finite,112
wl_7b_attn_decode_b1_v2048_tp_r128_c128_av,tile_port,1024,114688,14680064,finite,112
wl_7b_attn_decode_b1_v2048_tp_r128_c128,tile_port,2048,229376,29360128,finite,112
wl_7b_attn_decode_b1_v8192_tp_r128_c128_qk,tile_port,1024,458752,58720256,finite,448
wl_7b_attn_decode_b1_v8192_tp_r128_c128_av,tile_port,1024,458752,58720256,finite,448
wl_7b_attn_decode_b1_v8192_tp_r128_c128,tile_port,2048,917504,117440512,finite,448
wl_7b_attn_prefill_b8_l2048_tp_r128_c128_qk,tile_port,16777216,998244352,120317804544,finite,119/2
wl_7b_attn_prefill_b8_l2048_tp_r128_c128_av,tile_port,16777216,939982848,120317804544,finite,14343/256
wl_7b_attn_prefill_b8_l2048_tp_r128_c128,tile_port,33554432,1938227200,240635609088,finite,29575/512
wl_7b_attn_prefill_b8_l8192_tp_r128_c128_qk,tile_port,67108864,15267266560,1924380229632,finite,455/2
wl_7b_attn_prefill_b8_l8192_tp_r128_c128_av,tile_port,67108864,15034220544,1924380229632,finite,57351/256
wl_7b_attn_prefill_b8_l8192_tp_r128_c128,tile_port,134217728,30301487104,3848760459264,finite,115591/512
wl_7b_attn_decode_b8_v2048_tp_r128_c128_qk,tile_port,8192,917504,117440512,finite,112
wl_7b_attn_decode_b8_v2048_tp_r128_c128_av,tile_port,8192,917504,117440512,finite,112
wl_7b_attn_decode_b8_v2048_tp_r128_c128,tile_port,16384,1835008,234881024,finite,112
wl_7b_attn_decode_b8_v8192_tp_r128_c128_qk,tile_port,8192,3670016,469762048,finite,448
wl_7b_attn_decode_b8_v8192_tp_r128_c128_av,tile_port,8192,3670016,469762048,finite,448
wl_7b_attn_decode_b8_v8192_tp_r128_c128,tile_port,16384,7340032,939524096,finite,448
wl_7b_train_gate_u2048_a1_tp_r128_c128_forward,tile_port,0,2172649472,278099132416,infinite,
wl_7b_train_gate_u2048_a1_tp_r128_c128_dx,tile_port,0,2172649472,278099132416,infinite,
wl_7b_train_gate_u2048_a1_tp_r128_c128_dw,tile_port,14680064,2172649472,278099132416,finite,148
wl_7b_train_gate_u2048_a1_tp_r128_c128_dw_alternative,tile_port,77594624,2172649472,278099132416,finite,28
wl_7b_train_gate_u2048_a1_tp_r128_c128,tile_port,286261248,6517948416,834297397248,finite,296/13
wl_7b_train_gate_u2048_a16_tp_r128_c128_forward,tile_port,0,2172649472,278099132416,infinite,
wl_7b_train_gate_u2048_a16_tp_r128_c128_dx,tile_port,0,2172649472,278099132416,infinite,
wl_7b_train_gate_u2048_a16_tp_r128_c128_dw,tile_port,14680064,2172649472,278099132416,finite,148
wl_7b_train_gate_u2048_a16_tp_r128_c128_dw_alternative,tile_port,77594624,2172649472,278099132416,finite,28
wl_7b_train_gate_u2048_a16_tp_r128_c128,tile_port,506462208,104287174656,13348758355968,finite,4736/23
wl_7b_q_decode_b1_static_tp_r192_c160,tile_port,0,136192,25690112,infinite,
wl_7b_q_decode_b1_load_tp_r192_c160,tile_port,25690112,136192,25690112,finite,19/3584
