case_id,component,boundary,Q_S_Byte,Q_R_Byte,RI,tile_evaluations,final_valid_Byte,allocated_Byte
qwen36_35b_a3b/attention_decode/1024,AV,ports,32768,512,64,256,524288,524288
qwen36_35b_a3b/attention_decode/1024,AV,operator,16384,512,32,None,524288,524288
qwen36_35b_a3b/attention_decode/16384,total,ports,1048576,1024,1024,8192,16777216,16777216
qwen36_35b_a3b/attention_decode/16384,total,operator,266240,1024,260,None,16777216,16777216
qwen36_35b_a3b/attention_decode/16384,QK,ports,524288,512,1024,4096,8388608,8388608
qwen36_35b_a3b/attention_decode/16384,QK,operator,4096,512,8,None,8388608,8388608
qwen36_35b_a3b/attention_decode/16384,AV,ports,524288,512,1024,4096,8388608,8388608
qwen36_35b_a3b/attention_decode/16384,AV,operator,262144,512,512,None,8388608,8388608
qwen36_35b_a3b/attention_decode/131072,total,ports,8388608,1024,8192,65536,134217728,134217728
qwen36_35b_a3b/attention_decode/131072,total,operator,2101248,1024,2052,None,134217728,134217728
qwen36_35b_a3b/attention_decode/131072,QK,ports,4194304,512,8192,32768,67108864,67108864
qwen36_35b_a3b/attention_decode/131072,QK,operator,4096,512,8,None,67108864,67108864
qwen36_35b_a3b/attention_decode/131072,AV,ports,4194304,512,8192,32768,67108864,67108864
qwen36_35b_a3b/attention_decode/131072,AV,operator,2097152,512,4096,None,67108864,67108864
hy3_295b/attention_prefill/1024,total,ports,71335936,2097152,2177/64,589824,2097152,2097152
hy3_295b/attention_prefill/1024,total,operator,41975808,2097152,1281/64,None,2097152,2097152
hy3_295b/attention_prefill/1024,QK,ports,37748736,1048576,36,294912,1048576,1048576
hy3_295b/attention_prefill/1024,QK,operator,8388608,1048576,8,None,1048576,1048576
hy3_295b/attention_prefill/1024,AV,ports,33587200,1048576,1025/32,294912,1048576,1048576
hy3_295b/attention_prefill/1024,AV,operator,33587200,1048576,1025/32,None,1048576,1048576
hy3_295b/attention_prefill/16384,total,ports,17247502336,33554432,32897/64,135266304,33554432,33554432
hy3_295b/attention_prefill/16384,total,operator,8724676608,33554432,16641/64,None,33554432,33554432
hy3_295b/attention_prefill/16384,QK,ports,8657043456,16777216,516,67633152,16777216,16777216
hy3_295b/attention_prefill/16384,QK,operator,134217728,16777216,8,None,16777216,16777216
hy3_295b/attention_prefill/16384,AV,ports,8590458880,16777216,16385/32,67633152,16777216,16777216
hy3_295b/attention_prefill/16384,AV,operator,8590458880,16777216,16385/32,None,16777216,16777216
hy3_295b/attention_prefill/131072,total,ports,1100052692992,268435456,262273/64,8598323200,268435456,268435456
hy3_295b/attention_prefill/131072,total,operator,550833750016,268435456,131329/64,None,268435456,268435456
hy3_295b/attention_prefill/131072,QK,ports,550292684800,134217728,4100,4299161600,134217728,134217728
hy3_295b/attention_prefill/131072,QK,operator,1073741824,134217728,8,None,134217728,134217728
hy3_295b/attention_prefill/131072,AV,ports,549760008192,134217728,131073/32,4299161600,134217728,134217728
hy3_295b/attention_prefill/131072,AV,operator,549760008192,134217728,131073/32,None,134217728,134217728
hy3_295b/attention_decode/1024,total,ports,131072,2048,64,1024,2097152,2097152
hy3_295b/attention_decode/1024,total,operator,73728,2048,36,None,2097152,2097152
hy3_295b/attention_decode/1024,QK,ports,65536,1024,64,512,1048576,1048576
hy3_295b/attention_decode/1024,QK,operator,8192,1024,8,None,1048576,1048576
hy3_295b/attention_decode/1024,AV,ports,65536,1024,64,512,1048576,1048576
hy3_295b/attention_decode/1024,AV,operator,65536,1024,64,None,1048576,1048576
hy3_295b/attention_decode/16384,total,ports,2097152,2048,1024,16384,33554432,33554432
hy3_295b/attention_decode/16384,total,operator,1056768,2048,516,None,33554432,33554432
hy3_295b/attention_decode/16384,QK,ports,1048576,1024,1024,8192,16777216,16777216
hy3_295b/attention_decode/16384,QK,operator,8192,1024,8,None,16777216,16777216
hy3_295b/attention_decode/16384,AV,ports,1048576,1024,1024,8192,16777216,16777216
hy3_295b/attention_decode/16384,AV,operator,1048576,1024,1024,None,16777216,16777216
